open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1579327200000,8855.30,8922.12,8816.00,8885.99,25645.232,1579348799999,227555940.45398,43694,12629.753,112069782.47046,0
1579348800000,8885.99,8968.00,8855.00,8912.50,36094.282,1579370399999,321769468.59457,77151,17593.256,156840808.11100,0
1579370400000,8910.86,8968.00,8885.00,8925.00,20481.234,1579391999999,182793957.94362,36897,10863.990,96964685.44859,0
1579392000000,8925.00,9205.30,8898.88,9139.16,57386.929,1579413599999,522414248.57732,102971,30653.337,279011347.28255,0
1579413600000,9138.69,9155.00,8505.00,8704.84,75664.190,1579435199999,670016237.35471,161023,34048.175,301290227.65336,0
1579435200000,8703.44,8704.82,8572.32,8666.62,44843.130,1579456799999,387465174.27415,78688,21762.261,188046375.46114,0
1579456800000,8666.62,8760.93,8440.91,8705.85,47420.276,1579478399999,410508084.13090,102113,23090.725,200004359.94431,0
1579478400000,8705.98,8740.00,8628.06,8680.05,30592.078,1579499999999,265461824.57044,55809,13752.501,119336301.35622,0
1579500000000,8680.04,8699.00,8601.00,8622.74,21516.639,1579521599999,186312051.47903,40680,10220.436,88517264.27039,0
1579521600000,8622.74,8710.65,8526.06,8648.82,46224.526,1579543199999,398624699.22180,96637,22911.678,197615302.04081,0
1579543200000,8648.59,8750.37,8612.51,8650.00,26828.432,1579564799999,232864549.85312,47771,13536.961,117529838.66828,0
1579564800000,8650.00,8700.00,8621.27,8664.99,17169.983,1579586399999,148729622.33331,28693,8983.443,77814929.51702,0
1579586400000,8664.99,8684.00,8608.71,8662.99,19848.682,1579607999999,171730462.36872,35056,9607.986,83144554.38910,0
1579608000000,8662.99,8682.70,8628.19,8654.40,14556.982,1579629599999,125996141.10108,28712,6909.370,59812495.59421,0
1579629600000,8654.35,8790.10,8448.60,8742.43,56001.506,1579651199999,485476650.70560,108414,28059.747,243452820.36581,0
1579651200000,8742.78,8764.00,8709.00,8724.05,12929.079,1579672799999,112936477.86395,21292,6353.292,55497053.73008,0
1579672800000,8725.14,8820.00,8616.09,8661.33,39619.816,1579694399999,344878376.36469,78132,18894.266,164511324.52302,0
1579694400000,8660.50,8720.59,8585.85,8695.70,27705.048,1579715999999,240074590.64713,55558,14404.357,124853807.28740,0
1579716000000,8695.69,8695.89,8630.10,8684.57,14051.553,1579737599999,121786985.98001,25473,6594.293,57159191.81069,0
1579737600000,8684.47,8694.00,8504.00,8563.96,29714.299,1579759199999,255365408.58196,62737,13364.468,114859679.76484,0
1579759200000,8563.96,8625.00,8404.68,8433.81,51358.115,1579780799999,436805123.45701,108656,24786.183,210862225.03552,0
1579780800000,8433.80,8508.00,8327.00,8340.30,53201.086,1579802399999,446530687.57114,102354,26069.122,218819033.09328,0
1579802400000,8340.23,8452.27,8326.00,8409.60,29133.564,1579823999999,244334163.09472,61700,14903.382,125002882.73189,0
